,type,accuracy,accuracy_std,f1,f1_std,recall,recall_std,precision,precision_std
0,GaussianNB,0.8307839632277835,0.0432852833344451,0.5364144425732448,0.11841345715307731,0.4755375964615096,0.12162629803458844,0.6343671769407064,0.1521831360900157
1,SVC,0.8410495403472931,0.03792588137493897,0.39949786081365024,0.07871929327865074,0.25227586423238596,0.0603782925405411,1.0,0.0
2,RandomForestClassifier,0.88158835546476,0.03255043055423007,0.6505574097718068,0.11367977750046294,0.5455870820001255,0.14209556948171484,0.8497368421052631,0.11780236913490776
3,LogisticRegression,0.8601889683350358,0.040028649889457604,0.6265901807498446,0.10245828106132718,0.569010367651672,0.12164620619609977,0.7207297879279303,0.13626978956711633
4,DummyClassifier,0.78585291113381,0.05592895420479945,0.0,0.0,0.0,0.0,0.0,0.0
