,type,accuracy,accuracy_std,f1,f1_std,recall,recall_std,precision,precision_std
0,GaussianNB,0.8093590398365679,0.03814909145729105,0.508942149328112,0.11277746251938732,0.4836544795783926,0.12277275003221591,0.5560752371123888,0.1384140841922222
1,SVC,0.8410495403472931,0.03792588137493897,0.39949786081365024,0.07871929327865074,0.25227586423238596,0.0603782925405411,1.0,0.0
2,RandomForestClassifier,0.8838738508682328,0.031940098575292425,0.6691107710783067,0.07150289309747071,0.5606139030052074,0.10377371512721015,0.868704481792717,0.11963624925076216
3,LogisticRegression,0.8534473953013277,0.044125699281149997,0.6133897569763443,0.12086453757038705,0.5621110170023214,0.11712278525001182,0.6925587402793285,0.1633554089036566
4,DummyClassifier,0.78585291113381,0.05592895420479945,0.0,0.0,0.0,0.0,0.0,0.0
