frac_a,frac_b,sto_a,sto_b
0.1,0.9,1,9
0.2,0.8,1,4
0.3,0.7,1,2
0.4,0.6,2,3
0.5,0.5,1,1
0.6,0.4,3,2
0.7,0.3,2,1
0.8,0.2,4,1
0.9,0.1,9,1
