,type,data_size,accuracy,accuracy_std,f1,f1_std,recall,recall_std,precision,precision_std
0,GaussianNB,871,0.8068841272268523,0.04082892577790461,0.46882221460353557,0.06312123342476716,0.527819264069264,0.1262783935460459,0.4772070721675984,0.17317742523561483
1,SVC,871,0.9759047582638836,0.009439989011199575,0.9147604306274385,0.04905910768081739,0.8462112887112887,0.08116088928684416,1.0,0.0
2,RandomForestClassifier,871,0.9790905267986851,0.01834118739803607,0.9382062988163339,0.042102194945085665,0.8898584748584749,0.07085902743243633,0.9947368421052631,0.016643566632465173
3,LogisticRegression,871,0.9250697683309121,0.028751424913637354,0.7617406393928133,0.057793259551402486,0.7139785214785214,0.09599872630989567,0.8290043290043292,0.07184283631070042
4,DummyClassifier,871,0.8328886000458751,0.04679590489606986,0.0,0.0,0.0,0.0,0.0,0.0
