,type,data_size,accuracy,accuracy_std,f1,f1_std,recall,recall_std,precision,precision_std
0,GaussianNB,871,0.7982025279802596,0.07166631975121429,0.4715154882398715,0.09333433711641195,0.5255741162861906,0.10414667519595278,0.48953412999852625,0.22505012478180725
1,SVC,871,0.974758595510569,0.009949424169398162,0.9139096415280628,0.043987762474659874,0.8440976876580593,0.07222834725738246,1.0,0.0
2,RandomForestClassifier,871,0.9815344449899912,0.010801702441377856,0.93922317305938,0.03762180717504193,0.8935813515689677,0.05867035797037435,0.9916666666666668,0.026352313834736504
3,LogisticRegression,871,0.917310779166824,0.023338392872583245,0.7309500490494404,0.0912519315283186,0.6989446466845848,0.14324699656089832,0.7991461479696773,0.11750027618950606
4,DummyClassifier,871,0.833208224748524,0.03039973249075892,0.0,0.0,0.0,0.0,0.0,0.0
