,type,accuracy,accuracy_std,f1,f1_std,recall,recall_std,precision,precision_std
0,GaussianNB,0.7769412750005806,0.028892528484345488,0.39503517992144294,0.049332262528740706,0.565676935170686,0.05621023090865938,0.30561781616319383,0.04918945886680959
1,SVC,0.8713723556023869,0.016389898877024644,0.0,0.0,0.0,0.0,0.0,0.0
2,RandomForestClassifier,0.8929949908168069,0.01769741980994536,0.44914161243101935,0.06630572616544814,0.3399105075906447,0.053214681931267147,0.6669536604990499,0.10519233870804533
3,LogisticRegression,0.881431791761815,0.016114462999243146,0.2946578961629399,0.05379937790473703,0.1937348023052421,0.04026731543339597,0.6302332721972902,0.09239933854800621
4,DummyClassifier,0.8713723556023869,0.016389898877024644,0.0,0.0,0.0,0.0,0.0,0.0
