,type,data_size,accuracy,accuracy_std,f1,f1_std,recall,recall_std,precision,precision_std
0,GaussianNB,871,0.7849345005989246,0.04395375986344288,0.4506761837358072,0.05831667759118441,0.5448189310689312,0.12274411832854352,0.4150469830444255,0.1179230206734493
1,SVC,871,0.8328886000458751,0.04679590489606986,0.0,0.0,0.0,0.0,0.0,0.0
2,RandomForestClassifier,871,0.9190993195198411,0.040054664043075006,0.6991561498040304,0.10044759670486413,0.5557933732933733,0.11953048527893458,0.965909090909091,0.05567022142689042
3,LogisticRegression,871,0.88127150393761,0.047110331413446074,0.6354646669120354,0.08579625456061211,0.6089835164835165,0.10911671997632083,0.6891268453768454,0.1474791950834027
4,DummyClassifier,871,0.8328886000458751,0.04679590489606986,0.0,0.0,0.0,0.0,0.0,0.0
