,type,data_size,accuracy,accuracy_std,f1,f1_std,recall,recall_std,precision,precision_std
0,GaussianNB,871,0.7768706832836353,0.050039494788194853,0.44313765349059464,0.0635147204172386,0.5448189310689312,0.12274411832854352,0.4055135566188198,0.12967179448380828
1,SVC,871,0.8328886000458751,0.04679590489606986,0.0,0.0,0.0,0.0,0.0,0.0
2,RandomForestClassifier,871,0.908942133700334,0.03742989484383452,0.6672037884566488,0.07017288773554847,0.5400653513153513,0.09724202213099435,0.9010317460317461,0.09870795442652933
3,LogisticRegression,871,0.8713507021433851,0.04412133060524671,0.610603225285296,0.09645416548652909,0.6006501831501831,0.09994741948354091,0.6604623644329527,0.20105634563520525
4,DummyClassifier,871,0.8328886000458751,0.04679590489606986,0.0,0.0,0.0,0.0,0.0,0.0
