,type,data_size,accuracy,accuracy_std,f1,f1_std,recall,recall_std,precision,precision_std
0,GaussianNB,871,0.7849345005989246,0.04395375986344288,0.4506761837358072,0.05831667759118441,0.5448189310689312,0.12274411832854352,0.4150469830444255,0.1179230206734493
1,SVC,871,0.8328886000458751,0.04679590489606986,0.0,0.0,0.0,0.0,0.0,0.0
2,RandomForestClassifier,871,0.9112409842750466,0.039341390140535754,0.6834560106814112,0.07253015692616957,0.5605094905094905,0.08831998112066335,0.891031746031746,0.09243357471418015
3,LogisticRegression,871,0.8824078675739736,0.04540697227282608,0.6362876120828066,0.08374774833980793,0.6054120879120879,0.09696966206377065,0.6897847401136875,0.13722780488071923
4,DummyClassifier,871,0.8328886000458751,0.04679590489606986,0.0,0.0,0.0,0.0,0.0,0.0
