,type,data_size,accuracy,accuracy_std,f1,f1_std,recall,recall_std,precision,precision_std
0,GaussianNB,871,0.8328886000458751,0.04679590489606986,0.0,0.0,0.0,0.0,0.0,0.0
1,SVC,871,0.8328886000458751,0.04679590489606986,0.0,0.0,0.0,0.0,0.0,0.0
2,RandomForestClassifier,871,0.8328886000458751,0.04679590489606986,0.0,0.0,0.0,0.0,0.0,0.0
3,LogisticRegression,871,0.8328886000458751,0.04679590489606986,0.0,0.0,0.0,0.0,0.0,0.0
4,DummyClassifier,871,0.8328886000458751,0.04679590489606986,0.0,0.0,0.0,0.0,0.0,0.0
