,type,accuracy,accuracy_std,f1,f1_std,recall,recall_std,precision,precision_std
0,GaussianNB,0.8093590398365679,0.03814909145729105,0.508942149328112,0.11277746251938732,0.4836544795783926,0.12277275003221591,0.5560752371123888,0.1384140841922222
1,SVC,0.8410495403472931,0.03792588137493897,0.39949786081365024,0.07871929327865074,0.25227586423238596,0.0603782925405411,1.0,0.0
2,RandomForestClassifier,0.874846782431052,0.03549038772330871,0.6243131838921314,0.12367679872789919,0.5147986071899116,0.14115743212446147,0.8356454819690114,0.14013046090229997
3,LogisticRegression,0.86017620020429,0.0419698945447431,0.6343278402851174,0.09978111560122464,0.5817538741451784,0.10267622727380188,0.7154632867132867,0.14071940732363608
4,DummyClassifier,0.78585291113381,0.05592895420479945,0.0,0.0,0.0,0.0,0.0,0.0
