,type,data_size,accuracy,accuracy_std,f1,f1_std,recall,recall_std,precision,precision_std
0,GaussianNB,871,0.8379068226418942,0.024406909282353853,0.43462286482870593,0.1181446735137695,0.4030731768231769,0.1550063106055904,0.5042088956794839,0.12397074054757828
1,SVC,871,0.841123493131483,0.032732697447158364,0.4477743802091628,0.1008714237284327,0.4140230602730603,0.15246787550865187,0.5692346542346542,0.18188102874202247
2,RandomForestClassifier,871,0.8605331065066137,0.03132523904881776,0.4784182678919521,0.0904050459818349,0.4004329004329005,0.11298669074927281,0.62252886002886,0.1116950169719098
3,LogisticRegression,871,0.842228954813059,0.03939666927261351,0.3616986533395202,0.1116729490337167,0.2823605561105561,0.10726186393382806,0.5635064935064934,0.13426972185063682
4,DummyClassifier,871,0.8328886000458751,0.04679590489606986,0.0,0.0,0.0,0.0,0.0,0.0
