,type,accuracy,accuracy_std,f1,f1_std,recall,recall_std,precision,precision_std
0,GaussianNB,0.805988253319714,0.03723237060589376,0.5052499773380115,0.11282209875911822,0.4891739600978731,0.13532190919096634,0.5419119769119769,0.12955081931094178
1,SVC,0.9740679264555668,0.015163729018911718,0.93635439911302,0.03636938767618607,0.8823291141225924,0.06513138413496318,1.0,0.0
2,RandomForestClassifier,0.9707099080694587,0.014373671793902228,0.9294404921094055,0.03620935285887729,0.886559696342305,0.07583744899758171,0.9827380952380953,0.04070604669259077
3,LogisticRegression,0.9064096016343207,0.03277427702120559,0.7499294813775884,0.08635180220417324,0.6682657318526884,0.10145844869340581,0.8635541419364948,0.09496110728420705
4,DummyClassifier,0.78585291113381,0.05592895420479945,0.0,0.0,0.0,0.0,0.0,0.0
