,type,accuracy,accuracy_std,f1,f1_std,recall,recall_std,precision,precision_std
0,GaussianNB,0.46944444444444444,0.11176888632628171,0.3657142857142857,0.20062219502875056,0.6833333333333332,0.3722636792833546,0.28023809523809523,0.17670470504227268
1,SVC,0.7180555555555556,0.18551417535934892,0.22333333333333333,0.3370350020288584,0.20833333333333331,0.3315926773975923,0.325,0.47214051580717653
2,RandomForestClassifier,0.6833333333333333,0.1562484567825026,0.3066666666666667,0.3328885921968712,0.3,0.338387607396468,0.3416666666666667,0.3479436948915942
3,LogisticRegression,0.6833333333333333,0.15249974701456448,0.33380952380952383,0.3103200990428955,0.39166666666666666,0.4045459274389095,0.38333333333333336,0.40100183183596866
4,DummyClassifier,0.7333333333333333,0.16158932858054428,0.0,0.0,0.0,0.0,0.0,0.0
