,type,data_size,accuracy,accuracy_std,f1,f1_std,recall,recall_std,precision,precision_std
0,GaussianNB,871,0.7760148745452028,0.08371614475977024,0.4498307687153601,0.07016276938002435,0.5398598305719049,0.12888218249895533,0.41150484770921497,0.10149515370221886
1,SVC,871,0.833208224748524,0.03039973249075892,0.0,0.0,0.0,0.0,0.0,0.0
2,RandomForestClassifier,871,0.9150119285921114,0.022540986266038114,0.6736099994343886,0.08056879872120648,0.5323886639676114,0.08850625024150571,0.9316233766233767,0.07686134690419098
3,LogisticRegression,871,0.8748608855484633,0.05655929032115613,0.6363718856103148,0.11377832183022503,0.6274966828836798,0.10886236805842982,0.6721839271839272,0.15890265162329859
4,DummyClassifier,871,0.833208224748524,0.03039973249075892,0.0,0.0,0.0,0.0,0.0,0.0
