,type,accuracy,accuracy_std,f1,f1_std,recall,recall_std,precision,precision_std
0,GaussianNB,0.7930476138513022,0.08788795416377428,0.5001355397416327,0.10411756929319159,0.5083951555690686,0.10885268042981543,0.561266339869281,0.2571678798906638
1,RandomForestClassifier,0.8843023424996362,0.05058387460199981,0.6294408319728013,0.10756991216492086,0.5062744501874936,0.13161738246051993,0.8813383838383839,0.13402674260130912
2,LogisticRegression,0.8449398006692856,0.0951391911955418,0.6152843398501557,0.11556628355579515,0.5962876254180601,0.15708540392882903,0.6710400245783542,0.17898590587490923
3,DummyClassifier,0.8051825985741307,0.05482699712079621,0.0,0.0,0.0,0.0,0.0,0.0
