,type,data_size,accuracy,accuracy_std,f1,f1_std,recall,recall_std,precision,precision_std
0,GaussianNB,4114,0.8949838187702266,0.023034323437469188,0.28561543104600584,0.046669771113109444,0.4720028629220646,0.07958089964327215,0.2097122589191684,0.047525145286345966
1,GaussianNB,8228,0.8193945064788783,0.012367689559519897,0.4250158793195265,0.04613940084188856,0.5925494183391309,0.05745171289638946,0.3321737610552503,0.04183920729845365
2,GaussianNB,12342,0.7579800392391026,0.01913915467129765,0.42581492485885386,0.022788491858477627,0.6737048508002769,0.04166896065021293,0.3117912793898035,0.020684594012844858
3,GaussianNB,16456,0.7343199872953499,0.0226552383042466,0.39788455599465705,0.02253589646389047,0.6603351885677993,0.04453057160915248,0.28516710384867094,0.018938489153027722
4,GaussianNB,20570,0.7482741857073407,0.014338883974821392,0.3916131080985014,0.02173025814332172,0.6487370517533938,0.049388209876818884,0.28080999199611845,0.01608216735576522
5,SVC,4114,0.9557608721328513,0.0070330302565210535,0.0,0.0,0.0,0.0,0.0,0.0
6,SVC,8228,0.886852001312627,0.011214572278650185,0.0,0.0,0.0,0.0,0.0,0.0
7,SVC,12342,0.8669575259680181,0.005630093214154708,0.0,0.0,0.0,0.0,0.0,0.0
8,SVC,16456,0.8670390778787667,0.009448692660135647,0.0,0.0,0.0,0.0,0.0,0.0
9,SVC,20570,0.8750607681088965,0.0028011395801435077,0.0,0.0,0.0,0.0,0.0,0.0
10,RandomForestClassifier,4114,0.9742316868636761,0.007322749999950778,0.6170442579296862,0.07792905175021561,0.46987474980710947,0.08470093816337276,0.9161111111111111,0.08030292442235147
11,RandomForestClassifier,8228,0.9247693294664053,0.00806856784094217,0.5847297167937494,0.0622071125339271,0.4730952853864035,0.05620073071270466,0.769811325371779,0.0869307229119195
12,RandomForestClassifier,12342,0.914033687885091,0.005864864090090407,0.6068082754652502,0.028785716432797353,0.4991338626365226,0.026399331581400984,0.7754057408122799,0.04852970791785877
13,RandomForestClassifier,16456,0.9044120960087456,0.007699374883654779,0.5467466685680533,0.03507689350630456,0.4348303573665797,0.03414484652943525,0.7381280848063654,0.04323161959552007
14,RandomForestClassifier,20570,0.9064171122994651,0.005850930751664364,0.5196676630579666,0.05065849229363683,0.4073537963408655,0.04769416583630353,0.7201494735990878,0.05145738652289031
15,LogisticRegression,4114,0.9720448586209341,0.007402257300570491,0.584378679347195,0.07568777214375474,0.4448909588078722,0.0813206183619272,0.8757070707070707,0.1011962930424737
16,LogisticRegression,8228,0.8935351645070406,0.009836910451478408,0.32969242663355963,0.05704014004315368,0.23317302123925626,0.04663695198586958,0.5733469079296494,0.09973952064462203
17,LogisticRegression,12342,0.8764373781980197,0.008019696691982478,0.3038975068011716,0.027286815260325472,0.20304795037762197,0.022471008108717324,0.6174519438212134,0.08353337517700611
18,LogisticRegression,16456,0.8750606610111277,0.008259282834520402,0.2521698072414683,0.034760206432791964,0.15918908952326144,0.026036575977069317,0.6157819254203676,0.052385689482738244
19,LogisticRegression,20570,0.880943121050073,0.004005609539156917,0.21678348450382395,0.04370001346344489,0.13244475802004946,0.028648025469801008,0.6030418569955474,0.0889042664607947
20,DummyClassifier,4114,0.9557608721328513,0.0070330302565210535,0.0,0.0,0.0,0.0,0.0,0.0
21,DummyClassifier,8228,0.886852001312627,0.011214572278650185,0.0,0.0,0.0,0.0,0.0,0.0
22,DummyClassifier,12342,0.8669575259680181,0.005630093214154708,0.0,0.0,0.0,0.0,0.0,0.0
23,DummyClassifier,16456,0.8670390778787667,0.009448692660135647,0.0,0.0,0.0,0.0,0.0,0.0
24,DummyClassifier,20570,0.8750607681088965,0.0028011395801435077,0.0,0.0,0.0,0.0,0.0,0.0
